time,tcc_auto,tcc_empi
2026-04-07 07:20:19,0.0,0.0
2026-04-07 07:20:34,0.0,0.0
2026-04-07 07:20:49,0.0,0.0
2026-04-07 07:21:04,0.0,0.0
2026-04-07 07:21:19,0.0,0.0
2026-04-07 07:21:34,0.0,0.0
2026-04-07 07:21:49,0.0,0.0
2026-04-07 07:22:04,0.0,0.0
2026-04-07 07:22:19,0.0,0.0
2026-04-07 07:22:34,0.0,0.0
2026-04-07 07:22:49,0.0,0.0
2026-04-07 07:23:04,0.0,0.0
2026-04-07 07:23:19,0.0,0.0
2026-04-07 07:23:34,0.0,0.0
2026-04-07 07:23:49,0.0,0.0
2026-04-07 07:24:04,0.0,0.0
2026-04-07 07:24:19,0.0,0.0
2026-04-07 07:24:34,0.0,0.0
2026-04-07 07:24:49,0.0,0.0
2026-04-07 07:25:04,0.0,0.0
2026-04-07 07:25:19,0.0,0.0
2026-04-07 07:25:34,0.0,0.0
2026-04-07 07:25:49,0.0,0.0
2026-04-07 07:26:04,0.0,0.0
2026-04-07 07:26:19,0.0,0.0
2026-04-07 07:26:34,0.0,0.0
2026-04-07 07:26:49,0.0,0.0
2026-04-07 07:27:04,0.0,0.0
2026-04-07 07:27:19,0.0,0.0
2026-04-07 07:27:34,0.0,0.0
2026-04-07 07:27:49,0.0,0.0
2026-04-07 07:28:04,0.0,0.0
2026-04-07 07:28:19,0.0,0.0
2026-04-07 07:28:34,0.0,0.0
2026-04-07 07:28:49,0.0,0.0
2026-04-07 07:29:04,0.0,0.0
2026-04-07 07:29:19,0.0,0.0
2026-04-07 07:29:34,0.0,0.0
2026-04-07 07:29:49,0.0,0.0
2026-04-07 07:30:04,0.0,0.0
2026-04-07 07:30:19,0.0,0.0
2026-04-07 07:30:34,0.0,0.0
2026-04-07 07:30:49,0.0,0.0
2026-04-07 07:31:04,0.0,0.0
2026-04-07 07:31:19,0.0,0.0
2026-04-07 07:31:34,0.0,0.0
2026-04-07 07:31:49,0.0,0.0
2026-04-07 07:32:04,0.0,0.0
2026-04-07 07:32:19,0.0,0.0
2026-04-07 07:32:34,0.0,0.0
2026-04-07 07:32:49,0.0,0.0
2026-04-07 07:33:04,0.0,0.0
2026-04-07 07:33:19,0.0,0.0
2026-04-07 07:33:34,0.0,0.0
2026-04-07 07:33:49,0.0,0.0
2026-04-07 07:34:04,0.0,0.0
2026-04-07 07:34:19,0.0,0.0
2026-04-07 07:34:34,0.0,0.0
2026-04-07 07:34:49,0.0,0.0
2026-04-07 07:35:04,0.0,0.0
2026-04-07 07:35:19,0.0,0.0
2026-04-07 07:35:34,0.0,0.0
2026-04-07 07:35:49,0.0,0.0
2026-04-07 07:36:04,0.0,0.0
2026-04-07 07:36:19,0.0,0.0
2026-04-07 07:36:34,0.0,0.0
2026-04-07 07:36:49,0.0,0.0
2026-04-07 07:37:04,0.0,0.0
2026-04-07 07:37:19,0.0,0.0
2026-04-07 07:37:34,0.0,0.0
2026-04-07 07:37:49,0.0,0.0
2026-04-07 07:38:04,0.0,0.0
2026-04-07 07:38:19,0.0,0.0
2026-04-07 07:38:34,0.0,0.0
2026-04-07 07:38:49,0.0,0.0
2026-04-07 07:39:04,0.0,0.0
2026-04-07 07:39:19,0.0,0.0
2026-04-07 07:39:34,0.0,0.0
2026-04-07 07:39:49,0.0,0.0
2026-04-07 07:40:04,0.0,0.0
2026-04-07 07:40:19,0.0,0.0
2026-04-07 07:40:34,0.0,0.0
2026-04-07 07:40:49,0.0,0.0
2026-04-07 07:41:04,0.0,0.0
2026-04-07 07:41:19,0.0,0.0
2026-04-07 07:41:34,0.0,0.0
2026-04-07 07:41:49,0.0,0.0
2026-04-07 07:42:04,0.0,0.0
2026-04-07 07:42:19,0.0,0.0
2026-04-07 07:42:34,0.0,0.0
2026-04-07 07:42:49,0.0,0.0
2026-04-07 07:43:04,0.0,0.0
2026-04-07 07:43:19,0.0,0.0
2026-04-07 07:43:34,0.0,0.0
2026-04-07 07:43:49,0.0,0.0
2026-04-07 07:44:04,0.0,0.0
2026-04-07 07:44:19,0.0,0.0
2026-04-07 07:44:34,0.0,0.0
2026-04-07 07:44:49,0.0,0.0
2026-04-07 07:45:04,0.0,0.0
2026-04-07 07:45:19,0.0,0.0
2026-04-07 07:45:34,0.0,0.0
2026-04-07 07:45:49,0.0,0.0
2026-04-07 07:46:04,0.0,0.0
2026-04-07 07:46:19,0.0,0.0
2026-04-07 07:46:34,0.0,0.0
2026-04-07 07:46:49,0.0,0.0
2026-04-07 07:47:04,0.0,0.0
2026-04-07 07:47:19,0.0,0.0
2026-04-07 07:47:34,0.0,0.0
2026-04-07 07:47:49,0.0,0.0
2026-04-07 07:48:04,0.0,0.0
2026-04-07 07:48:19,0.0,0.0
2026-04-07 07:48:34,0.0,0.0
2026-04-07 07:48:49,0.0,0.0
2026-04-07 07:49:04,0.0,0.0
2026-04-07 07:49:19,0.0,0.0
2026-04-07 07:49:34,0.0,0.0
2026-04-07 07:49:49,0.0,0.0
2026-04-07 07:50:04,0.0,0.0
2026-04-07 07:50:19,0.0,0.0
2026-04-07 07:50:34,0.0,0.0
2026-04-07 07:50:49,0.0,0.0
2026-04-07 07:51:04,0.0,0.0
2026-04-07 07:51:19,0.0,0.0
2026-04-07 07:51:34,0.0,0.0
2026-04-07 07:51:49,0.0,0.0
2026-04-07 07:52:04,0.0,0.0
2026-04-07 07:52:19,0.0,0.0
2026-04-07 07:52:34,0.0,0.0
2026-04-07 07:52:49,0.0,0.0
2026-04-07 07:53:04,0.0,0.0
2026-04-07 07:53:19,0.0,0.0
2026-04-07 07:53:34,0.0,0.0
2026-04-07 07:53:49,0.0,0.0
2026-04-07 07:54:04,0.0,0.0
2026-04-07 07:54:19,0.0,0.0
2026-04-07 07:54:34,0.0,0.0
2026-04-07 07:54:49,0.0,0.0
2026-04-07 07:55:04,0.0,0.0
2026-04-07 07:55:19,0.0,0.0
2026-04-07 07:55:34,0.0,0.0
2026-04-07 07:55:49,0.0,0.0
2026-04-07 07:56:04,0.0,0.0
2026-04-07 07:56:19,0.0,0.0
2026-04-07 07:56:34,0.0,0.0
2026-04-07 07:56:49,0.0,0.0
2026-04-07 07:57:04,0.0,0.0
2026-04-07 07:57:19,0.0,0.0
2026-04-07 07:57:34,0.0,0.0
2026-04-07 07:57:49,0.0,0.0
2026-04-07 07:58:04,0.0,0.0
2026-04-07 07:58:19,0.0,0.0
2026-04-07 07:58:34,0.0,0.0
2026-04-07 07:58:49,0.0,0.0
2026-04-07 07:59:04,0.0,0.0
2026-04-07 07:59:19,0.0,0.0
2026-04-07 07:59:34,0.0,0.0
2026-04-07 07:59:49,0.0,0.0
2026-04-07 08:00:04,0.0,0.0
2026-04-07 08:00:19,0.0,0.0
2026-04-07 08:00:34,0.0,0.0
2026-04-07 08:00:49,0.0,0.0
2026-04-07 08:01:04,0.0,0.0
2026-04-07 08:01:19,0.0,0.0
2026-04-07 08:01:34,0.0,0.0
2026-04-07 08:01:49,0.0,0.0
2026-04-07 08:02:04,0.0,0.0
2026-04-07 08:02:19,0.0,0.0
2026-04-07 08:02:34,0.0,0.0
2026-04-07 08:02:49,0.0,0.0
2026-04-07 08:03:04,0.0,0.0
2026-04-07 08:03:19,0.0,0.0
2026-04-07 08:03:34,0.0,0.0
2026-04-07 08:03:49,0.0,0.0
2026-04-07 08:04:04,0.0,0.0
2026-04-07 08:04:19,0.0,0.0
2026-04-07 08:04:34,0.0,0.0
2026-04-07 08:04:49,0.0,0.0
2026-04-07 08:05:04,0.0,0.0
2026-04-07 08:05:19,0.0,0.0
2026-04-07 08:05:34,0.0,0.0
2026-04-07 08:05:49,0.0,0.0
2026-04-07 08:06:04,0.0,0.0
2026-04-07 08:06:19,0.0,0.0
2026-04-07 08:06:34,0.0,0.0
2026-04-07 08:06:49,0.0,0.0
2026-04-07 08:07:04,0.0,0.0
2026-04-07 08:07:19,0.0,0.0
2026-04-07 08:07:34,0.0,0.0
2026-04-07 08:07:49,0.0,0.0
2026-04-07 08:08:04,0.0,0.0
2026-04-07 08:08:19,0.0,0.0
2026-04-07 08:08:34,0.0,0.0
